COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Argentina,ARG,AMRO,REPORTING,2023-11-17,116571595.0,41188650,257.926,91.134,38087569,84.272,,2020-12-29,7.0,27608419.0,61.086
Australia,AUS,WPRO,REPORTING,2023-10-05,68770769.0,22193733,269.691,87.035,21602288,84.715,,2021-02-21,5.0,14402265.0,56.48
Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633.0,1241174,204.319,72.943,1226796,72.098,,2020-11-04,11.0,1008663.0,59.278
British Virgin Islands,VGB,AMRO,REPORTING,2023-06-02,41453.0,19466,137.094,64.378,18261,60.393,,2021-02-11,3.0,3726.0,12.323
Egypt,EGY,EMRO,REPORTING,2023-05-21,112673535.0,56907319,110.103,55.609,42337175,41.371,,2021-01-24,10.0,15217352.0,14.87
El Salvador,SLV,AMRO,REPORTING,2023-08-25,11448379.0,4659970,176.504,71.844,4396448,67.782,,2021-02-17,6.0,1905226.0,29.374
Eswatini,SWZ,AFRO,REPORTING,2023-06-04,870205.0,526050,75.007,45.343,427335,36.834,,2021-03-19,3.0,179450.0,15.468
Greece,GRC,EURO,REPORTING,2023-10-01,21985885.0,7917288,205.1,75.693,7745574,74.051,,2020-12-23,7.0,5902357.0,56.429
Guam,GUM,WPRO,REPORTING,2023-01-31,352698.0,135612,208.975,80.351,128788,76.308,,2021-01-04,3.0,83603.0,49.535
India,IND,SEARO,REPORTING,2023-11-23,2208365081.0,1027419851,160.026,74.45,952128795,68.995,,2021-01-16,8.0,228816435.0,16.581
