COUNTRY,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Argentina,AMRO,REPORTING,2023-11-17,116571595.0,41188650,257.926,91.134,38087569,84.272,2020-12-29,7.0,27608419.0,61.086
Australia,WPRO,REPORTING,2023-10-05,68770769.0,22193733,269.691,87.035,21602288,84.715,2021-02-21,5.0,14402265.0,56.48
Bahrain,EMRO,REPORTING,2022-12-21,3476633.0,1241174,204.319,72.943,1226796,72.098,2020-11-04,11.0,1008663.0,59.278
British Virgin Islands,AMRO,REPORTING,2023-06-02,41453.0,19466,137.094,64.378,18261,60.393,2021-02-11,3.0,3726.0,12.323
Egypt,EMRO,REPORTING,2023-05-21,112673535.0,56907319,110.103,55.609,42337175,41.371,2021-01-24,10.0,15217352.0,14.87
El Salvador,AMRO,REPORTING,2023-08-25,11448379.0,4659970,176.504,71.844,4396448,67.782,2021-02-17,6.0,1905226.0,29.374
Eswatini,AFRO,REPORTING,2023-06-04,870205.0,526050,75.007,45.343,427335,36.834,2021-03-19,3.0,179450.0,15.468
Greece,EURO,REPORTING,2023-10-01,21985885.0,7917288,205.1,75.693,7745574,74.051,2020-12-23,7.0,5902357.0,56.429
Guam,WPRO,REPORTING,2023-01-31,352698.0,135612,208.975,80.351,128788,76.308,2021-01-04,3.0,83603.0,49.535
India,SEARO,REPORTING,2023-11-23,2208365081.0,1027419851,160.026,74.45,952128795,68.995,2021-01-16,8.0,228816435.0,16.581
Latvia,EURO,REPORTING,2023-08-13,2979624.0,1344386,156.2,71.672,1304787,69.561,2020-12-30,9.0,550901.0,29.37
Lesotho,AFRO,REPORTING,2023-03-19,1339097.0,1014073,62.509,47.337,938088,43.79,2021-03-10,3.0,177816.0,8.3
Luxembourg,EURO,REPORTING,2023-10-01,1337942.0,469286,213.7,72.713,462732,71.697,2020-12-30,8.0,368526.0,57.101
Montserrat,AMRO,REPORTING,2023-06-02,4619.0,2104,92.398,42.088,1952,39.048,2021-02-08,2.0,563.0,11.262
Namibia,AFRO,REPORTING,2023-11-12,1005937.0,629767,39.59,24.785,550978,21.684,2021-03-19,4.0,298560.0,11.75
Papua New Guinea,WPRO,REPORTING,2023-11-05,540974.0,396922,6.046,4.436,335728,3.752,2021-03-30,4.0,37105.0,0.415
Portugal,EURO,REPORTING,2023-10-01,27879893.0,9822021,270.8,95.277,8910340,86.073,2020-12-23,12.0,7086988.0,68.46
Qatar,EMRO,REPORTING,2023-05-07,7609178.0,2852178,264.111,98.998,2852178,98.998,,10.0,1904822.0,66.115
Saudi Arabia,EMRO,REPORTING,2023-04-25,68534631.0,27041364,196.86,77.674,25433941,73.057,2021-01-06,10.0,16059326.0,46.129
